"station","city","ste","lon","lat"
"Melton","Melbourne","2",144.5669,-37.7065
"Melbourne CBD","Melbourne","2",144.97,-37.8074
"Macleod","Melbourne","2",145.0576,-37.7225
"Dandenong","Melbourne","2",145.1987,-37.9858
"Campbellfield","Melbourne","2",144.9657,-37.6793
"Brooklyn","Melbourne","2",144.8471,-37.8221
"Brighton","Melbourne","2",144.998,-37.9135
"Box Hill","Melbourne","2",145.1324,-37.8287
"Altona North","Melbourne","2",144.8616,-37.8441
"Alphington","Melbourne","2",145.0306,-37.7784
"sunshine_west","Melbourne","2",144.821699,-37.803966
"richmond","Melbourne","2",145.0041546,-37.8233607
"melton_bam","Melbourne","2",144.567,-37.70631
"melbourne_cbd","Melbourne","2",144.970001,-37.807583
"footscray","Melbourne","2",144.8727377,-37.80487767
"cambellfield_bam","Melbourne","2",144.9657,-37.67917
"brooklyn","Melbourne","2",144.847116,-37.822085
"brighton","Melbourne","2",144.9979896,-37.91355347
"alphington","Melbourne","2",145.0305757,-37.77842676
"BOWRAL","Wollongong","1",150.4102,-34.4879
"ALBION PARK SOUTH","Wollongong","1",150.7825,-34.5778
"CAMPBELLTOWN WEST","Wollongong","1",150.79555,-34.0667
"BARGO","Wollongong","1",150.5806,-34.30625
"WOLLONGONG","Wollongong","1",150.8873,-34.4171
"KEMBLA GRANGE","Wollongong","1",150.8191,-34.4741
"CAMDEN","Wollongong","1",150.6901,-34.0417
"ALBION PARK STH","Wollongong","1",150.7825,-34.5778
"wollongong","Wollongong","1",150.8873283,-34.41706803
"warrawong","Wollongong","1",150.8922169,-34.4896741
"kembla_grange","Wollongong","1",150.81944,-34.47398434
"campbelltown_west","Wollongong","1",150.7955361,-34.06665668
"camden","Wollongong","1",150.6901712,-34.04172026
"bargo","Wollongong","1",150.5806198,-34.30624563
"albion_park_south","Wollongong","1",150.7825381,-34.57783844
"CARRINGTON","Newcastle","1",151.76335,-32.90965
"MORISSET","Newcastle","1",151.5526,-33.1079
"WYONG","Newcastle","1",151.4324,-33.2789
"WALLSEND","Newcastle","1",151.6702,-32.8944
"STOCKTON","Newcastle","1",151.7843,-32.902
"NEWCASTLE","Newcastle","1",151.7596,-32.9312
"MAYFIELD","Newcastle","1",151.7284,-32.8849
"BERESFIELD","Newcastle","1",151.661,-32.7968
"wyong","Newcastle","1",151.4324233,-33.27894899
"wallsend","Newcastle","1",151.6702075,-32.8943912
"stockton","Newcastle","1",151.7843047,-32.90201075
"newcastle","Newcastle","1",151.7596294,-32.93117889
"morisset","Newcastle","1",151.55257,-33.10801
"mayfield","Newcastle","1",151.7284241,-32.88493327
"carrington","Newcastle","1",151.7633362,-32.90966046
"beresfield","Newcastle","1",151.6610103,-32.79678858
"Southport","Gold Coast - Tweed Heads (Tweed Heads Part)","1",153.4022,-27.9612
"south_port","Gold Coast - Tweed Heads (Tweed Heads Part)","1",153.4023155,-27.96099905
"arundel","Gold Coast - Tweed Heads (Tweed Heads Part)","1",153.365592,-27.944075
"MORISSET","Central Coast","1",151.5526,-33.1079
"WYONG","Central Coast","1",151.4324,-33.2789
"wyong","Central Coast","1",151.4324233,-33.27894899
"morisset","Central Coast","1",151.55257,-33.10801
"ALEXANDRIA","Sydney","1",151.1973,-33.9053
"CAMMERAY","Sydney","1",151.2167,-33.8273
"ST MARYS","Sydney","1",150.7668,-33.79515
"CAMPBELLTOWN WEST","Sydney","1",150.79555,-34.0667
"ROZELLE","Sydney","1",151.1639,-33.8643
"ROUSE HILL","Sydney","1",150.9037,-33.6827
"RICHMOND","Sydney","1",150.7473,-33.6164
"RANDWICK","Sydney","1",151.2428,-33.9318
"PROSPECT","Sydney","1",150.9142,-33.7942
"PENRITH","Sydney","1",150.7038,-33.7269
"PARRAMATTA NORTH","Sydney","1",150.9978,-33.7995
"OAKDALE","Sydney","1",150.4982,-34.0517
"MACQUARIE PARK","Sydney","1",151.1178,-33.7652
"LIVERPOOL","Sydney","1",150.9073,-33.9313
"LIDCOMBE","Sydney","1",151.0468,-33.8814
"EARLWOOD","Sydney","1",151.1358,-33.9162
"COOK AND PHILLIP","Sydney","1",151.2132,-33.8729
"CHULLORA","Sydney","1",151.0461,-33.8916
"CAMDEN","Sydney","1",150.6901,-34.0417
"BRINGELLY","Sydney","1",150.7619,-33.9177
"BRADFIELD HIGHWAY","Sydney","1",151.2111,-33.8433
"woolooware","Sydney","1",151.142284,-34.042583
"westmead","Sydney","1",150.997805,-33.7995094
"st_marys","Sydney","1",150.7667978,-33.79515754
"rozelle","Sydney","1",151.1639427,-33.86434613
"rouse_hill","Sydney","1",150.903713,-33.682762
"richmond","Sydney","1",150.7473356,-33.61643788
"randwick","Sydney","1",151.2428107,-33.93177389
"prospect","Sydney","1",150.9141768,-33.79425278
"penrith","Sydney","1",150.7038,-33.72687
"parramatta_north","Sydney","1",150.997805,-33.7995094
"oakdale","Sydney","1",150.4981819,-34.05169965
"macquarie_park","Sydney","1",151.1177491,-33.7652905
"liverpool_swaqs","Sydney","1",150.93252,-33.91889
"liverpool","Sydney","1",150.9072993,-33.93134917
"lidcombe","Sydney","1",151.042838,-33.884251
"earlwood","Sydney","1",151.1357819,-33.91617937
"cook_and_phillip","Sydney","1",151.213337,-33.872468
"chullora","Sydney","1",151.0460603,-33.89158612
"campbelltown_west","Sydney","1",150.7955361,-34.06665668
"camden","Sydney","1",150.6901712,-34.04172026
"bringelly","Sydney","1",150.7619438,-33.91765997
"bradfield_highway","Sydney","1",151.2114197,-33.84344834
