"","id","station_id","station","state","lat","lon","date_time_utc","year","date","hour","variable","value","units","measurement_method","time_basis","created","updated","altitude"
"25",88059812,52,"stockton","NSW",-32.902,151.7843,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",98.9,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",5
"26",88289886,368,"katoomba","NSW",-33.7103,150.2995,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",36.1,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",1046
"27",88298244,366,"goulburn","NSW",-34.7345,149.7242,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",12.9,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",702
"28",88161208,41,"oakdale","NSW",-34.0517,150.4982,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",248.7,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",457.1365
"29",88153657,42,"parramatta_north","NSW",-33.7995,150.9978,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",533,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",16
"30",88098734,62,"wollongong","NSW",-34.4171,150.8873,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",86.7,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",11.6383
"31",88004119,30,"liverpool","NSW",-33.9313,150.9073,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",437.1,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",23.4554
"32",88011993,15,"bringelly","NSW",-33.9177,150.7619,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",268.9,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",53.8131
"33",88019929,22,"chullora","NSW",-33.8916,151.0461,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",482,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",38.3626
"34",88027942,23,"earlwood","NSW",-33.9162,151.1358,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",365.3,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",13.8014
"35",88051578,21,"carrington","NSW",-32.9097,151.7633,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",94.5,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",5
"36",87988235,44,"randwick","NSW",-33.9318,151.2428,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",281.8,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",29.9111
"37",88083382,13,"beresfield","NSW",-32.7968,151.661,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",56.6,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",15.7322
"38",88106466,26,"kembla_grange","NSW",-34.474,150.8194,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",50.9,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",0.614
"39",88121381,11,"bargo","NSW",-34.3062,150.5806,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",114.9,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",371.997
"40",88129413,10,"albury","NSW",-36.0518,146.9399,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",17.4,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",182
"41",88145479,12,"bathurst","NSW",-33.4018,149.5746,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",15,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",625
"42",88200871,17,"camberwell","NSW",-32.4723,151.0919,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",37.1,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",82
"43",88216162,20,"campbelltown_west","NSW",-34.0667,150.7955,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",188.2,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",96.9733
"44",88223888,18,"camden","NSW",-34.0417,150.6902,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",169.5,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",76.4035
"45",88239088,32,"macquarie_park","NSW",-33.7653,151.1177,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",547.3,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",49
"46",88255247,24,"gunnedah","NSW",-30.9818,150.2607,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",21.9,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",272
"47",87996145,46,"rozelle","NSW",-33.8643,151.1639,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",533.5,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",31.3514
"48",88184491,37,"muswellbrook","NSW",-32.2717,150.8857,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",17.6,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",145
"49",88192731,48,"singleton","NSW",-32.5566,151.1786,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",49.4,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",42
"50",88283874,375,"bradfield_highway","NSW",-33.8434,151.2114,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",453.6,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",36
"51",88299139,374,"coffs_harbour","NSW",-30.2983,153.1181,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",29,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",21
"52",88294684,373,"rouse_hill","NSW",-33.6828,150.9037,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",452.2,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",73
"53",88208594,56,"wagga_wagga_north","NSW",-35.1041,147.3604,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",9,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",181
"54",88168627,9,"albion_park_south","NSW",-34.5778,150.7825,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",84.4,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",19.2713
"55",88137510,51,"st_marys","NSW",-33.7952,150.7668,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",608.7,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",27.5965
"56",88035517,64,"wyong","NSW",-33.2789,151.4324,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",144.2,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",2.6765
"57",88271222,365,"orange","NSW",-33.2743,149.0945,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",12.8,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",871
"58",88299995,364,"lismore","NSW",-28.8321,153.2935,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",25.6,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",12
"59",88067949,40,"newcastle","NSW",-32.9312,151.7596,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",114.7,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",7.9691
"60",88113492,45,"richmond","NSW",-33.6164,150.7473,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",513,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",22.2138
"61",88247335,39,"narrabri","NSW",-30.3184,149.8293,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",17,"ug_per_m3","BAM","1hr_av","2021-01-05 00:00:00","2023-11-19 03:12:31",239
"62",88275860,604,"port_macquarie_post_2019_10_04","NSW",-31.4478,152.8765,"2019-12-10 02:00:00",2019,"2019-12-10",12,"pm25",48.6,"ug_per_m3",NA,"1hr_av","2021-01-05 00:00:00","2024-11-18 09:48:53",NA
